,disk_height,Pixel_Count_0,Pixel_Count_1,NDVI_Avg_0,NDVI_Avg_1,SAVI_Avg_0,SAVI_Avg_1,VARI_Avg_0,VARI_Avg_1,ExG_Avg_0,ExG_Avg_1,NDRE_Avg_0,NDRE_Avg_1
disk_height,1.000,-0.018,0.021,0.092,-0.081,0.108,-0.064,0.271,0.011,0.054,-0.088,0.194,-0.052
Pixel_Count_0,-0.018,1.000,-0.998,0.920,-0.692,0.875,-0.712,0.374,-0.749,0.835,-0.701,0.597,-0.711
Pixel_Count_1,0.021,-0.998,1.000,-0.928,0.695,-0.885,0.715,-0.378,0.752,-0.844,0.703,-0.599,0.714
NDVI_Avg_0,0.092,0.920,-0.928,1.000,-0.539,0.987,-0.556,0.634,-0.574,0.934,-0.538,0.786,-0.553
NDVI_Avg_1,-0.081,-0.692,0.695,-0.539,1.000,-0.495,0.998,-0.134,0.966,-0.496,0.991,-0.289,0.996
SAVI_Avg_0,0.108,0.875,-0.885,0.987,-0.495,1.000,-0.508,0.688,-0.518,0.959,-0.492,0.806,-0.505
SAVI_Avg_1,-0.064,-0.712,0.715,-0.556,0.998,-0.508,1.000,-0.135,0.976,-0.508,0.993,-0.299,0.998
VARI_Avg_0,0.271,0.374,-0.378,0.634,-0.134,0.688,-0.135,1.000,-0.083,0.651,-0.125,0.925,-0.123
VARI_Avg_1,0.011,-0.749,0.752,-0.574,0.966,-0.518,0.976,-0.083,1.000,-0.516,0.961,-0.286,0.983
ExG_Avg_0,0.054,0.835,-0.844,0.934,-0.496,0.959,-0.508,0.651,-0.516,1.000,-0.482,0.729,-0.507
ExG_Avg_1,-0.088,-0.701,0.703,-0.538,0.991,-0.492,0.993,-0.125,0.961,-0.482,1.000,-0.280,0.986
NDRE_Avg_0,0.194,0.597,-0.599,0.786,-0.289,0.806,-0.299,0.925,-0.286,0.729,-0.280,1.000,-0.292
NDRE_Avg_1,-0.052,-0.711,0.714,-0.553,0.996,-0.505,0.998,-0.123,0.983,-0.507,0.986,-0.292,1.000
